LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2017",65.3769,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2018",65.051361,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2019",62.385929,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2020",62.542736,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2021",64.107475,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2017",61.138855,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2018",61.091515,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2019",60.748222,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2020",60.465584,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2021",61.790646,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2017",39.054001,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2018",38.262417,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2019",38.039867,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2020",36.489971,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2021",29.777237,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2017",54.064987,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2018",55.321404,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2019",55.563885,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2020",53.948326,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2021",54.440353,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2017",49.611893,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2018",50.366364,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2019",52.4118,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2020",51.754078,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2021",53.157799,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2017",61.267605,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2018",62.589851,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2019",63.329094,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2020",63.122547,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2021",66.43589,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2017",66.630455,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2018",68.628967,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2019",68.98822,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2020",68.479317,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2021",69.907143,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2017",45.92458,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2018",51.293549,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2019",50.619339,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2020",48.289345,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2021",49.83,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2017",57.920604,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2018",58.673499,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2019",58.89869,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2020",57.473597,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2021",57.821336,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2017",50.521461,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.233006,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2019",55.278542,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2020",57.004353,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2021",55.651592,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2017",61.445526,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2018",61.97654,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2019",64.924088,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2020",64.772354,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2021",61.950157,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2017",60.017593,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2018",60.951149,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2019",61.942692,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2020",62.644703,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2021",62.293205,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2017",41.831684,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2018",43.071896,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2019",44.955994,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2020",46.915874,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2021",48.927746,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2017",46.53194,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2018",46.481766,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2019",47.356865,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2020",46.902103,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2021",45.467873,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2017",55.091339,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2018",56.975697,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2019",56.987286,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2020",55.617611,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2021",58.837936,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2017",50.852608,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.373951,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2019",53.333496,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2020",52.035358,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2021",51.772327,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2017",66.827072,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2018",67.272621,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2019",67.004105,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2020",63.205822,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2021",61.927555,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2017",51.803944,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.455048,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2019",52.691494,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2020",50.907883,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2021",51.408981,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.730328,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.939545,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2019",52.534874,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2020",53.323368,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2021",52.763233,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.727272,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2018",54.635761,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2019",54.945053,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2020",54.065041,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2021",54.19355,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2017",60.378494,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2018",61.973526,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2019",61.634933,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2020",60.515766,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2021",62.057178,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2017",55.527878,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2018",57.405262,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2019",58.541592,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2020",56.477238,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2021",58.149979,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.07909,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2018",55.125961,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2019",55.206459,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2020",54.489285,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2021",57.802979,
